YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,25.42,20.11,27.64,28.16,23.1
1902,25.42,20.88,27.96,27.98,22.51
1903,25.01,19.99,27.02,28,22.33
1904,24.93,19.76,27.23,27.57,22.56
1905,24.84,18.36,26.38,28.2,23.13
1906,25.18,19.75,27.39,27.78,23.11
1907,25.02,20.51,26.53,27.74,22.88
1908,25,20.12,27.53,27.65,22.21
1909,24.96,20.08,27.14,27.32,22.9
1910,24.84,20.24,27.29,27.44,22.01
1911,25.08,20.34,26.95,27.83,22.72
1912,25.2,20.89,27.31,27.88,22.39
1913,24.95,20.28,27.01,27.57,22.5
1914,25.07,20.51,26.92,27.71,22.75
1915,25.44,20.09,27.45,28.33,23.14
1916,25.08,20.2,27.86,27.5,22.34
1917,24.54,20.16,26.16,27.3,22.14
1918,24.96,19.75,26.82,27.78,22.81
1919,25.15,20.48,27.33,27.7,22.71
1920,25.14,20.24,26.91,27.8,23.09
1921,25.45,20.87,28.46,27.69,22.5
1922,25.18,20.53,27.88,27.6,22.33
1923,25.16,20.01,27.44,27.9,22.64
1924,25.3,20.39,27.82,27.92,22.55
1925,24.97,19.4,27.5,27.57,22.71
1926,25.14,20.9,26.74,28.13,22.37
1927,25.01,20.05,26.97,27.69,22.77
1928,25.31,20.58,27.56,27.79,22.92
1929,25.15,19.99,27.77,27.71,22.58
1930,25.01,19.77,27.22,27.65,22.76
1931,25.45,20.69,27.72,28.04,22.89
1932,25.25,20.33,27.32,27.88,22.94
1933,24.91,20.27,26.78,27.46,22.75
1934,25.06,20.15,27.32,27.74,22.5
1935,25.05,20.05,27.23,27.62,22.77
1936,25.11,20.18,27.4,27.46,22.98
1937,25,20.23,26.99,27.88,22.36
1938,25.1,20.09,27.95,27.45,22.47
1939,25.09,20.51,26.95,27.73,22.75
1940,24.97,20.02,26.77,27.75,22.76
1941,25.61,20.33,28.17,28.05,23.3
1942,25.26,20.33,27.85,27.88,22.45
1943,24.84,19.67,26.94,27.59,22.53
1944,24.86,19.34,26.9,27.86,22.52
1945,24.69,18.88,27.05,28,21.79
1946,25.29,20.68,27.36,27.7,23.09
1947,25.35,20.27,27.78,28.02,22.77
1948,25.29,20.42,27.57,27.87,22.82
1949,25.16,20.53,27.52,27.76,22.43
1950,24.88,19.98,27.1,27.59,22.31
1951,25.33,20.06,27.01,28.03,23.55
1952,25.41,21.17,27.47,27.9,22.86
1953,25.58,20.75,28.28,27.89,23.03
1954,25.24,20.5,28,27.76,22.28
1955,25.02,20.58,27.22,27.6,22.33
1956,24.95,20.03,27.69,27.22,22.45
1957,25.15,19.93,26.86,27.92,23.21
1958,25.75,21.19,28.04,28.18,23.24
1959,25.36,20.31,27.83,27.8,22.99
