Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
27-Jun-24,23881.55,24087.45,23805.4,24044.5,515227010,61216.71
28-Jun-24,24085.9,24174,23985.8,24010.6,354779832,41242.87
01-Jul-24,23992.95,24164,23992.7,24141.95,242468081,28204.06
02-Jul-24,24228.75,24236.35,24056.4,24123.85,309629240,34838.65
03-Jul-24,24291.75,24309.15,24207.1,24286.5,289201551,36661.17
04-Jul-24,24369.95,24401,24281,24302.15,251189844,28466.6
05-Jul-24,24213.35,24363,24168.85,24323.85,298381204,32052.48
08-Jul-24,24329.45,24344.6,24240.55,24320.55,266299131,26356.03
09-Jul-24,24351,24443.6,24331.9,24433.2,250537091,29361.08
10-Jul-24,24459.85,24461.05,24141.8,24324.45,292263786,35358.54
11-Jul-24,24396.55,24402.65,24193.75,24315.95,306404194,32115.44
12-Jul-24,24387.95,24592.2,24331.15,24502.15,325823474,39565.33
15-Jul-24,24587.6,24635.05,24522.75,24586.7,305395934,31593.04
16-Jul-24,24615.9,24661.25,24587.65,24613,283212233,28668.71
18-Jul-24,24543.8,24837.75,24504.45,24800.85,350924425,40477.17
19-Jul-24,24853.8,24854.8,24508.15,24530.9,343772965,33588.08
22-Jul-24,24445.75,24595.2,24362.3,24509.25,324190553,32496.23
23-Jul-24,24568.9,24582.55,24074.2,24479.05,436408768,44921.42
24-Jul-24,24444.95,24504.25,24307.25,24413.5,366616574,39538.11
25-Jul-24,24230.95,24426.15,24210.8,24406.1,391821970,37853.62
26-Jul-24,,24861.15,24410.9,24834.85,383826136,42118.36
29-Jul-24,24943.3,24999.75,24774.6,24836.1,354966070,37102.92
30-Jul-24,24839.4,24971.75,24798.65,24857.3,384989431,37576.58
31-Jul-24,24886.7,,24856.5,24951.15,333646302,35411.32
01-Aug-24,25030.95,25078.3,24956.4,25010.9,431313292,38822.9
02-Aug-24,24789,24851.9,24686.85,,345027881,35368.54
05-Aug-24,24302.85,24350.05,23893.7,24055.6,486994718,45066.65
06-Aug-24,24189.85,24382.6,23960.4,23992.55,312339387,31553.65
07-Aug-24,24289.4,24337.7,24184.9,24297.5,317564429,29738.85
08-Aug-24,24248.55,24340.5,24079.7,24117,311875940,30858.18
09-Aug-24,24386.85,24419.75,24311.2,24367.5,215129992,22339.19
12-Aug-24,24320.05,24472.8,24212.1,24347,279925100,30311.85
13-Aug-24,24342.35,24359.95,24116.5,24139,239727640,25459.58
14-Aug-24,24184.4,24196.5,24099.7,24143.75,303254705,27834.61
16-Aug-24,,24563.9,24204.5,24541.15,271611087,28521.9
19-Aug-24,24636.35,24638.8,24522.95,24572.65,243645503,22124.41
20-Aug-24,24648.9,24734.3,24607.2,24698.85,238318940,25478.73
21-Aug-24,24680.55,,24654.5,24770.2,257114212,27404.63
22-Aug-24,24863.4,24867.35,24784.45,24811.5,220345125,24227.03
23-Aug-24,24845.4,24858.4,,24823.15,206800655,23134.22
26-Aug-24,24906.1,25043.8,24874.7,25010.6,210266456,22166.86
27-Aug-24,25024.8,25073.1,24973.65,25017.75,223346636,26695
28-Aug-24,25030.8,25129.6,24964.65,25052.35,220419448,26994.19
29-Aug-24,25035.3,25192.9,24998.5,25151.95,353993900,43221.73
30-Aug-24,25249.7,25268.35,25199.4,25235.9,638166179,
02-Sep-24,25333.6,25333.65,25235.5,25278.7,222815249,28187.71
03-Sep-24,25313.4,25321.7,25235.8,25279.85,212131921,27276.14
04-Sep-24,25089.95,25216,25083.8,25198.7,253788501,26293.35
05-Sep-24,25250.5,25275.45,25127.75,25145.1,222242223,26272.38
06-Sep-24,25093.7,25168.75,24801.3,24852.15,311671856,33001.17
09-Sep-24,24823.4,24957.5,24753.15,24936.4,254367252,25180.28
10-Sep-24,24999.4,25130.5,24896.8,25041.1,251274802,27846.31
11-Sep-24,25034,25113.7,24885.15,24918.45,279229206,29395.73
12-Sep-24,25059.65,25433.35,24941.45,25388.9,380069653,41747.91
13-Sep-24,25430.45,25430.5,25292.45,25356.5,250781898,25530.69
16-Sep-24,25406.65,25445.7,25336.2,25383.75,168694880,18705.01
17-Sep-24,25416.9,25441.65,25352.25,25418.55,215956868,25280.83
18-Sep-24,25402.4,25482.2,25285.55,25377.55,215727159,28832
19-Sep-24,25487.05,25611.95,25376.05,25415.8,314461263,
20-Sep-24,25525.95,25849.25,25426.6,25790.95,533067422,68915.27
23-Sep-24,25872.55,25956,25847.35,25939.05,209187756,24825.74
24-Sep-24,25921.45,26011.55,25886.85,25940.4,384115033,35573.63
25-Sep-24,25899.45,26032.8,25871.35,26004.15,278540972,27868.08
26-Sep-24,26005.4,26250.9,25998.4,26216.05,370895477,40838.36
27-Sep-24,26248.25,26277.35,26151.4,26178.95,490332370,55420.63
30-Sep-24,26061.3,26134.7,25794.1,25810.85,375370974,36028.06
01-Oct-24,25788.45,25907.6,25739.2,25796.9,247423786,27473.29
03-Oct-24,,25639.45,25230.3,25250.1,423395030,45689.5
04-Oct-24,25181.9,25485.05,24966.8,25014.6,374914801,42719.71
