Date,City,CO,CO2,NO2,SO2,O3,PM2.5,PM10,AQI
2024-01-01 00:00:00+00:00,Brasilia,323.0,,23.8,2.8,42.0,12.0,17.1,16.8
2024-01-01 01:00:00+00:00,Brasilia,318.0,,21.9,2.7,40.0,12.5,17.9,16.0
2024-01-01 02:00:00+00:00,Brasilia,309.0,,19.2,2.6,39.0,12.1,17.3,15.599999
2024-01-01 03:00:00+00:00,Brasilia,295.0,,16.3,2.4,38.0,11.4,16.2,15.2
2024-01-01 04:00:00+00:00,Brasilia,270.0,,13.0,2.1,40.0,10.2,14.6,16.0
2024-01-01 05:00:00+00:00,Brasilia,239.0,,9.4,1.9,44.0,8.7,12.4,17.6
2024-01-01 06:00:00+00:00,Brasilia,215.0,,6.8,1.7,47.0,7.5,10.7,18.8
2024-01-01 07:00:00+00:00,Brasilia,205.0,,6.0,1.8,46.0,6.1,8.7,18.4
2024-01-01 08:00:00+00:00,Brasilia,201.0,,6.1,2.1,45.0,5.7,8.2,18.0
2024-01-01 09:00:00+00:00,Brasilia,199.0,,5.9,2.2,46.0,5.7,8.2,18.4
2024-01-01 10:00:00+00:00,Brasilia,196.0,,4.8,2.0,54.0,6.6,9.4,21.6
2024-01-01 11:00:00+00:00,Brasilia,194.0,,3.4,1.6,65.0,7.2,10.2,26.0
2024-01-01 12:00:00+00:00,Brasilia,183.0,,3.7,1.8,72.0,4.6,6.6,28.800001
2024-01-01 13:00:00+00:00,Brasilia,180.0,,2.9,1.5,75.0,4.7,6.7,30.0
2024-01-01 14:00:00+00:00,Brasilia,176.0,,1.8,1.0,80.0,4.6,6.6,32.0
2024-01-01 15:00:00+00:00,Brasilia,173.0,,1.0,0.7,82.0,4.2,6.0,32.8
2024-01-01 16:00:00+00:00,Brasilia,170.0,,0.8,0.5,80.0,4.9,7.0,32.0
2024-01-01 17:00:00+00:00,Brasilia,168.0,,0.8,0.4,76.0,4.1,6.0,30.4
2024-01-01 18:00:00+00:00,Brasilia,168.0,,1.2,0.4,72.0,4.6,6.6,28.800001
2024-01-01 19:00:00+00:00,Brasilia,170.0,,1.5,0.4,69.0,5.0,7.2,27.6
2024-01-01 20:00:00+00:00,Brasilia,174.0,,2.1,0.4,67.0,5.4,7.8,26.800001
2024-01-01 21:00:00+00:00,Brasilia,187.0,,4.0,0.6,62.0,5.6,8.0,24.8
2024-01-01 22:00:00+00:00,Brasilia,217.0,,8.6,1.1,53.0,6.9,9.8,21.199999
2024-01-01 23:00:00+00:00,Brasilia,256.0,,14.4,1.8,42.0,8.2,11.7,16.8
2024-01-02 00:00:00+00:00,Brasilia,235.0,,13.1,2.2,41.0,8.2,11.7,16.4
2024-01-02 01:00:00+00:00,Brasilia,229.0,,12.1,2.3,42.0,7.7,11.0,16.8
2024-01-02 02:00:00+00:00,Brasilia,219.0,,10.7,2.3,44.0,7.7,11.1,17.6
2024-01-02 03:00:00+00:00,Brasilia,210.0,,9.1,2.3,46.0,7.3,10.5,18.4
2024-01-02 04:00:00+00:00,Brasilia,200.0,,7.4,2.1,47.0,6.9,9.9,18.8
2024-01-02 05:00:00+00:00,Brasilia,190.0,,5.5,1.8,48.0,6.3,9.0,19.199999
2024-01-02 06:00:00+00:00,Brasilia,182.0,,4.1,1.5,48.0,6.2,8.8,19.199999
2024-01-02 07:00:00+00:00,Brasilia,178.0,,3.4,1.4,48.0,5.3,7.5,19.199999
2024-01-02 08:00:00+00:00,Brasilia,176.0,,3.1,1.3,48.0,4.0,5.7,19.199999
2024-01-02 09:00:00+00:00,Brasilia,177.0,,3.0,1.2,48.0,3.3,4.7,19.199999
2024-01-02 10:00:00+00:00,Brasilia,181.0,,3.1,1.2,50.0,3.2,4.6,20.0
2024-01-02 11:00:00+00:00,Brasilia,188.0,,3.3,1.2,52.0,3.3,4.7,20.8
2024-01-02 12:00:00+00:00,Brasilia,179.0,,4.5,1.2,49.0,3.9,5.5,19.6
2024-01-02 13:00:00+00:00,Brasilia,178.0,,3.6,1.1,55.0,3.4,4.9,22.0
2024-01-02 14:00:00+00:00,Brasilia,178.0,,2.3,1.0,64.0,3.0,4.2,25.599998
2024-01-02 15:00:00+00:00,Brasilia,177.0,,1.3,0.9,69.0,2.7,3.8,27.6
2024-01-02 16:00:00+00:00,Brasilia,177.0,,0.9,0.8,68.0,2.3,3.3,27.2
2024-01-02 17:00:00+00:00,Brasilia,177.0,,0.8,0.6,63.0,2.0,2.9,25.2
2024-01-02 18:00:00+00:00,Brasilia,178.0,,1.0,0.5,58.0,1.9,2.8,23.199999
2024-01-02 19:00:00+00:00,Brasilia,181.0,,1.5,0.5,55.0,2.0,2.9,22.0
2024-01-02 20:00:00+00:00,Brasilia,185.0,,2.2,0.5,52.0,2.2,3.1,20.8
2024-01-02 21:00:00+00:00,Brasilia,188.0,,2.9,0.6,49.0,2.4,3.4,19.6
2024-01-02 22:00:00+00:00,Brasilia,189.0,,3.4,0.7,45.0,3.0,4.3,18.0
2024-01-02 23:00:00+00:00,Brasilia,189.0,,3.9,0.7,40.0,2.8,3.9,16.0
2024-01-03 00:00:00+00:00,Brasilia,177.0,,4.0,0.8,37.0,3.7,5.3,14.8
2024-01-03 01:00:00+00:00,Brasilia,174.0,,3.5,0.7,38.0,3.1,4.5,15.2
2024-01-03 02:00:00+00:00,Brasilia,169.0,,2.7,0.5,38.0,2.3,3.2,15.2
2024-01-03 03:00:00+00:00,Brasilia,165.0,,2.1,0.4,39.0,1.5,2.2,15.599999
2024-01-03 04:00:00+00:00,Brasilia,163.0,,1.8,0.4,39.0,1.1,1.5,15.599999
2024-01-03 05:00:00+00:00,Brasilia,163.0,,1.6,0.4,39.0,0.8,1.2,15.599999
2024-01-03 06:00:00+00:00,Brasilia,163.0,,1.5,0.5,38.0,0.7,1.0,15.2
2024-01-03 07:00:00+00:00,Brasilia,163.0,,1.6,0.6,36.0,0.6,0.9,14.400001
2024-01-03 08:00:00+00:00,Brasilia,164.0,,1.7,0.6,34.0,0.6,0.9,13.6
2024-01-03 09:00:00+00:00,Brasilia,166.0,,2.0,0.7,32.0,0.7,0.9,12.799999
2024-01-03 10:00:00+00:00,Brasilia,170.0,,2.4,0.7,31.0,1.0,1.4,12.4
2024-01-03 11:00:00+00:00,Brasilia,176.0,,3.0,0.7,30.0,1.1,1.5,12.0
2024-01-03 12:00:00+00:00,Brasilia,173.0,,2.8,0.6,34.0,0.7,1.0,13.6
2024-01-03 13:00:00+00:00,Brasilia,171.0,,2.4,0.5,33.0,0.7,1.0,13.200001
2024-01-03 14:00:00+00:00,Brasilia,168.0,,1.8,0.4,32.0,0.7,0.9,12.799999
2024-01-03 15:00:00+00:00,Brasilia,167.0,,1.4,0.4,32.0,0.7,1.1,12.799999
2024-01-03 16:00:00+00:00,Brasilia,169.0,,1.3,0.5,35.0,1.2,1.7,14.0
2024-01-03 17:00:00+00:00,Brasilia,173.0,,1.5,0.7,40.0,1.6,2.3,16.0
2024-01-03 18:00:00+00:00,Brasilia,177.0,,1.8,0.9,42.0,1.8,2.5,16.8
2024-01-03 19:00:00+00:00,Brasilia,178.0,,2.2,0.9,40.0,1.4,2.0,16.0
2024-01-03 20:00:00+00:00,Brasilia,179.0,,2.8,0.9,37.0,1.7,2.4,14.8
2024-01-03 21:00:00+00:00,Brasilia,185.0,,4.1,0.9,32.0,1.8,2.6,12.799999
2024-01-03 22:00:00+00:00,Brasilia,202.0,,7.0,1.2,26.0,2.3,3.2,10.4
2024-01-03 23:00:00+00:00,Brasilia,224.0,,10.6,1.5,18.0,2.9,4.1,7.2000003
2024-01-04 00:00:00+00:00,Brasilia,222.0,,10.1,1.4,16.0,6.5,9.3,6.3999996
2024-01-04 01:00:00+00:00,Brasilia,213.0,,8.6,1.3,17.0,6.1,8.6,6.8
2024-01-04 02:00:00+00:00,Brasilia,200.0,,6.5,1.1,18.0,5.2,7.3,7.2000003
2024-01-04 03:00:00+00:00,Brasilia,190.0,,4.8,1.0,19.0,4.5,6.4,7.6
2024-01-04 04:00:00+00:00,Brasilia,185.0,,3.9,0.9,19.0,3.7,5.3,7.6
2024-01-04 05:00:00+00:00,Brasilia,182.0,,3.4,0.9,19.0,3.2,4.6,7.6
2024-01-04 06:00:00+00:00,Brasilia,180.0,,3.0,0.8,19.0,2.9,4.1,7.6
2024-01-04 07:00:00+00:00,Brasilia,178.0,,2.8,0.7,19.0,2.7,3.9,7.6
2024-01-04 08:00:00+00:00,Brasilia,177.0,,2.7,0.5,20.0,2.6,3.7,8.0
2024-01-04 09:00:00+00:00,Brasilia,178.0,,2.8,0.5,21.0,2.3,3.3,8.4
2024-01-04 10:00:00+00:00,Brasilia,183.0,,3.1,0.6,24.0,1.5,2.2,9.599999
2024-01-04 11:00:00+00:00,Brasilia,189.0,,3.5,0.9,28.0,1.3,1.9,11.2
2024-01-04 12:00:00+00:00,Brasilia,204.0,,5.5,1.3,29.0,3.4,4.8,11.599999
2024-01-04 13:00:00+00:00,Brasilia,198.0,,4.5,1.2,29.0,2.7,3.8,11.599999
2024-01-04 14:00:00+00:00,Brasilia,188.0,,3.1,1.0,29.0,2.2,3.1,11.599999
2024-01-04 15:00:00+00:00,Brasilia,181.0,,2.1,0.8,29.0,1.4,2.1,11.599999
2024-01-04 16:00:00+00:00,Brasilia,176.0,,1.6,0.7,29.0,1.0,1.4,11.599999
2024-01-04 17:00:00+00:00,Brasilia,173.0,,1.4,0.6,30.0,1.1,1.5,12.0
2024-01-04 18:00:00+00:00,Brasilia,172.0,,1.6,0.5,30.0,1.5,2.1,12.0
2024-01-04 19:00:00+00:00,Brasilia,175.0,,2.2,0.5,29.0,1.7,2.4,11.599999
2024-01-04 20:00:00+00:00,Brasilia,181.0,,3.1,0.5,28.0,1.9,2.6,11.2
2024-01-04 21:00:00+00:00,Brasilia,186.0,,4.0,0.5,26.0,2.0,2.7,10.4
2024-01-04 22:00:00+00:00,Brasilia,190.0,,4.8,0.6,23.0,2.4,3.2,9.2
2024-01-04 23:00:00+00:00,Brasilia,194.0,,5.6,0.8,20.0,2.8,3.7,8.0
