CustomerID,Gender,Age,AnnualIncome,SpendingScore
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Male,20,21,66
19,Male,52,23,29
20,Female,35,23,98
21,Female,35,24,35
22,Female,25,24,73
23,Female,31,25,5
24,Male,24,25,73
25,Male,18,28,14
26,Female,29,28,82
27,Female,19,33,4
28,Female,21,33,92
29,Male,25,34,17
30,Female,20,34,81
31,Female,23,37,1
32,Female,31,37,73
33,Female,22,39,35
34,Female,35,39,71
35,Female,20,40,5
36,Female,40,40,55
37,Female,20,42,8
38,Female,28,42,89
39,Male,19,43,7
40,Female,19,43,87
41,Female,18,44,20
42,Female,27,44,67
43,Female,30,46,19
44,Female,19,46,85
45,Female,28,47,10
46,Female,24,47,88
47,Female,70,48,5
48,Female,47,48,75
49,Female,22,48,7
50,Female,21,48,88
